Date,Open,Close,High,Low,Volume
2019-11-29,6597.49,6564.22,6631.75,6551.84,10367290
2019-12-02,6573.88,6569.36,6596.39,6557.44,8303287
2019-12-03,6553.38,6593.44,6597.78,6534.23,8234027
2019-12-04,6564.86,6558.07,6575.6,6542.5,8385032
2019-12-05,6583.33,6590.96,6606.41,6561.07,8864008
2019-12-06,6603.15,6597.85,6617.15,6566.54,8333479
2019-12-09,6594.51,6586.64,6599.65,6563.17,10010698
2019-12-10,6569.77,6562.25,6586.93,6557.47,9239473
2019-12-11,6579.36,6634.24,6637.06,6569.02,12112301
2019-12-12,6640.91,6617.26,6640.91,6603.52,10036967
2019-12-13,6668.59,6747.0,6747.0,6657.23,18772668
2019-12-16,6733.65,6730.24,6733.65,6697.8,14615722
2019-12-17,6728.12,6824.45,6877.08,6703.5,25280217
2019-12-18,6811.64,6831.31,6874.2,6811.64,17024529
2019-12-19,6836.33,6842.12,6883.48,6825.36,14222141
2019-12-20,6844.97,6842.82,6888.64,6829.78,15491287
2019-12-23,6860.74,6766.43,6865.83,6760.05,15228119
2019-12-24,6774.28,6806.54,6824.27,6774.28,8590629
2019-12-25,6805.86,6775.5,6808.8,6755.59,8809643
2019-12-26,6776.08,6825.87,6825.87,6773.48,9451917
2019-12-27,6817.74,6834.07,6899.12,6812.95,16174299
2019-12-30,6795.39,6828.27,6829.3,6729.38,18821813
2019-12-31,6818.31,6824.51,6827.71,6782.66,13505969
2020-01-02,6892.44,6934.35,6985.29,6892.44,23619764
2020-01-03,6946.83,6951.82,6971.42,6937.17,15204213
2020-01-06,6919.52,6904.02,6980.0,6876.87,19031238
2020-01-07,6927.74,6936.36,6984.78,6915.11,16155689
2020-01-08,6899.03,6824.86,6899.03,6819.01,15609334
2020-01-09,6873.54,6860.45,6888.85,6835.03,13369089
2020-01-10,6866.1,6859.47,6876.97,6835.98,9961934
2020-01-13,6865.11,6878.16,6880.14,6820.28,12998779
2020-01-14,6885.01,6860.72,6937.9,6855.54,13553954
2020-01-15,6861.63,6786.25,6867.4,6780.36,11208818
2020-01-16,6797.15,6740.83,6801.8,6728.8,14612806
2020-01-17,6751.48,6741.02,6781.05,6726.12,10087982
2020-01-20,6753.03,6775.33,6783.65,6743.2,10484256
2020-01-21,6746.66,6679.5,6747.33,6674.95,14598091
2020-01-22,6654.1,6675.79,6685.26,6602.0,14104304
2020-01-23,6641.2,6514.41,6641.2,6486.76,20952705
2020-02-03,5959.75,6082.72,6184.1,5959.75,36539362
2020-02-04,6083.74,6210.2,6219.29,6083.74,27048708
2020-02-05,6213.26,6206.73,6248.36,6155.03,19716887
2020-02-06,6237.26,6248.94,6269.62,6174.68,19488437
2020-02-07,6195.84,6222.84,6222.84,6155.21,16205904
2020-02-10,6182.7,6196.45,6206.32,6162.02,14325068
2020-02-11,6217.09,6260.94,6281.35,6207.9,17106964
2020-02-12,6255.71,6272.4,6272.58,6225.72,13315402
2020-02-13,6260.59,6221.77,6272.84,6220.14,12834698
2020-02-14,6214.97,6277.27,6285.97,6214.3,11631791
2020-02-17,6274.32,6389.02,6389.78,6262.34,18777821
2020-02-18,6363.75,6324.64,6370.72,6314.83,14566302
2020-02-19,6317.01,6323.15,6368.23,6310.01,14075239
2020-02-20,6333.08,6403.19,6412.24,6292.84,20996434
2020-02-21,6378.84,6382.3,6423.51,6354.1,17636784
2020-02-24,6359.45,6307.2,6380.08,6302.97,17613212
2020-02-25,6248.61,6244.77,6276.53,6206.71,18995831
2020-02-26,6196.44,6267.25,6312.77,6186.0,20880991
2020-02-27,6262.79,6297.07,6310.82,6262.64,16019629
2020-02-28,6233.08,6129.83,6266.93,6129.83,23028306
2020-03-02,6149.76,6243.43,6256.94,6149.76,17978461
2020-03-03,6277.71,6256.12,6297.73,6245.39,18207370
2020-03-04,6244.47,6268.29,6275.48,6229.57,12925953
2020-03-05,6295.43,6432.44,6439.39,6276.46,31652684
2020-03-06,6378.54,6332.72,6395.87,6328.97,18889051
2020-03-09,6249.56,6172.01,6249.79,6163.59,25301613
2020-03-10,6145.81,6240.1,6260.24,6145.81,20548620
2020-03-11,6247.79,6185.32,6262.93,6185.32,15467298
2020-03-12,6172.32,6151.92,6197.31,6132.16,18419665
2020-03-13,5970.21,6091.88,6108.98,5948.04,27716209
2020-03-16,6090.9,5913.86,6090.9,5913.46,25710337
2020-03-17,5918.9,5901.23,5991.84,5830.27,21488913
2020-03-18,5916.53,5764.46,5944.77,5762.47,18629203
2020-03-19,5736.26,5601.71,5756.37,5552.95,25573407
2020-03-20,5659.09,5726.65,5759.54,5635.35,19838743
2020-03-23,5610.97,5596.61,5650.33,5585.37,15718232
2020-03-24,5685.98,5741.57,5747.78,5667.92,16969624
2020-03-25,5835.07,5838.98,5864.28,5799.54,17081439
2020-03-26,5803.7,5874.61,5948.18,5796.88,16135424
2020-03-27,5924.16,5893.78,5944.89,5883.57,13453125
2020-03-30,5830.51,5873.11,5887.32,5817.36,14609316
2020-03-31,5908.6,5808.18,5919.32,5803.29,13101918
2020-04-01,5807.58,5804.83,5870.75,5800.32,10603320
2020-04-02,5774.26,5842.66,5842.66,5774.25,10330207
2020-04-03,5812.59,5804.11,5828.86,5785.17,10420015
2020-04-07,5885.26,5871.71,5893.46,5856.92,14598585
2020-04-08,5855.78,5837.96,5862.01,5827.85,10392952
2020-04-09,5858.46,5836.89,5863.1,5833.28,8074457
2020-04-10,5848.47,5835.17,5866.38,5818.09,9743277
2020-04-13,5809.25,5792.88,5815.29,5787.01,8301985
2020-04-14,5816.33,5860.56,5861.23,5806.66,9971608
2020-04-15,5850.18,5829.02,5853.47,5820.55,8536879
2020-04-16,5802.33,5813.45,5819.34,5789.45,9077570
2020-04-17,5841.58,5859.9,5888.56,5818.96,13847166
2020-04-20,5854.98,5841.27,5859.29,5820.97,10869557
2020-04-21,5843.0,5818.97,5857.75,5804.65,11866623
2020-04-22,5807.7,5814.6,5816.16,5784.57,10173076
2020-04-23,5821.51,5794.1,5823.92,5786.25,11298922
2020-04-24,5794.17,5775.38,5794.24,5760.55,8817190
2020-04-27,5795.43,5881.55,5913.87,5794.98,16416532
2020-04-28,5888.94,5895.19,5903.42,5829.98,13762848
2020-04-29,5895.62,6035.57,6035.57,5893.82,18167819
2020-04-30,6045.73,6051.15,6125.83,6045.27,15196367
2020-05-06,5972.53,5986.85,5998.45,5939.25,16282243
2020-05-07,5985.48,5954.33,5985.48,5945.39,10917498
2020-05-08,5984.6,6012.67,6030.43,5969.22,12462976
2020-05-11,6012.39,6010.04,6057.24,6003.65,11169039
2020-05-12,6010.62,5964.57,6023.11,5957.84,9302503
2020-05-13,5951.39,5960.32,5964.76,5922.94,8475313
2020-05-14,5942.46,5897.35,5942.46,5890.85,8718151
2020-05-15,5924.26,5892.5,5932.55,5884.87,8686005
2020-05-18,5886.26,5898.86,5931.03,5874.41,8849036
2020-05-19,5958.34,5937.53,5958.99,5928.18,9367519
2020-05-20,5937.17,5966.13,5986.04,5912.17,10367725
2020-05-21,5982.12,5948.75,5993.99,5945.34,8393422
2020-05-22,5937.3,5842.52,5942.15,5842.52,12156204
2020-05-25,5873.42,5841.64,5873.42,5818.09,8618743
2020-05-26,5859.09,5856.3,5864.56,5842.52,7661440
2020-05-27,5865.81,5884.71,5914.66,5852.22,10796448
2020-05-28,5894.58,5961.2,5992.16,5890.96,13892102
2020-05-29,5933.23,5923.93,5941.74,5913.47,10426890
2020-06-01,5951.58,6006.06,6011.51,5951.58,11882584
2020-06-02,5988.81,6040.68,6057.78,5988.81,12690087
2020-06-03,6070.31,6047.2,6139.84,6046.05,13940173
2020-06-04,6074.82,6027.6,6076.64,6022.07,8558171
2020-06-05,6043.87,6036.74,6045.21,6002.48,7910490
2020-06-08,6052.5,6040.41,6089.48,6036.26,11469547
2020-06-09,6042.26,6050.22,6058.01,6021.71,10403640
2020-06-10,6058.53,6008.12,6058.53,6004.75,10014690
2020-06-11,6003.22,5935.44,6007.82,5928.32,14984425
2020-06-12,5894.82,5942.09,5948.08,5883.37,18684318
2020-06-15,5907.24,5869.15,5916.8,5869.15,16822865
2020-06-16,5906.31,5916.09,5920.82,5896.12,11145470
2020-06-17,5909.3,5911.53,5917.39,5885.54,9920216
2020-06-18,5877.2,5891.69,5906.1,5832.16,16245800
2020-06-19,5879.78,5901.3,5916.47,5863.42,19547682
2020-06-22,5886.58,5869.12,5914.17,5863.71,17542257
2020-06-23,5859.61,5840.76,5865.99,5833.86,13346517
2020-06-24,5844.37,5894.62,5901.89,5843.53,18696427
2020-06-29,5930.5,5882.45,5951.13,5865.32,19794898
2020-06-30,5871.21,5864.1,5883.85,5847.14,16495865
2020-07-01,5869.31,5970.72,5977.93,5851.92,26818879
