日期,股票,类型,价格,股数,金额,手续费,红利补税
2022-01-10,交通银行,网格卖出,3.13,300,939.00,0.97,0.00
2022-01-11,中国银行,网格买入,2.08,400,832.00,0.50,0.00
2022-01-11,建设银行,网格买入,4.37,100,437.00,0.50,0.00
2022-01-11,建设银行,网格买入,4.35,100,435.00,0.50,0.00
2022-01-11,建设银行,网格卖出,4.42,200,884.00,0.94,0.00
2022-01-11,交通银行,网格买入,3.11,200,622.00,0.50,0.00
2022-01-11,交通银行,网格买入,3.09,300,927.00,0.50,0.00
2022-01-11,交通银行,网格卖出,3.14,300,942.00,0.97,0.00
2022-01-12,工商银行,网格买入,3.36,200,672.00,0.50,0.00
2022-01-12,农业银行,网格买入,1.95,600,1170.00,0.50,0.00
2022-01-12,农业银行,网格卖出,1.98,700,1386.00,1.19,0.00
2022-01-12,中国银行,网格买入,2.07,400,828.00,0.50,0.00
2022-01-12,中国银行,网格买入,2.06,500,1030.00,0.50,0.00
2022-01-12,中国银行,网格卖出,2.1,600,1260.00,1.13,0.00
2022-01-12,建设银行,网格买入,4.4,100,440.00,0.50,0.00
2022-01-12,建设银行,网格买入,4.38,100,438.00,0.50,0.00
2022-01-12,建设银行,网格买入,4.36,200,872.00,0.50,0.00
2022-01-12,建设银行,网格买入,4.34,200,868.00,0.50,0.00
2022-01-12,建设银行,网格买入,4.32,200,864.00,0.50,0.00
2022-01-12,建设银行,网格卖出,4.4,300,1320.00,1.16,0.00
2022-01-12,交通银行,网格买入,3.12,300,936.00,0.50,0.00
2022-01-12,交通银行,网格买入,3.1,300,930.00,0.50,0.00
2022-01-12,交通银行,网格买入,3.08,400,1232.00,0.50,0.00
2022-01-12,交通银行,网格卖出,3.14,500,1570.00,1.29,0.00
2022-01-13,工商银行,网格卖出,3.41,300,1023.00,1.01,0.00
2022-01-13,农业银行,网格买入,1.96,500,980.00,0.50,0.00
2022-01-13,中国银行,网格买入,2.07,500,1035.00,0.50,0.00
2022-01-13,中国银行,网格卖出,2.1,600,1260.00,1.13,0.00
2022-01-13,建设银行,网格买入,4.34,200,868.00,0.50,0.00
2022-01-13,建设银行,网格买入,4.32,300,1296.00,0.50,0.00
